country,country_code,year,Cardiovascular diseases (%),Cancers (%),Respiratory diseases (%),Diabetes (%),Dementia (%),Lower respiratory infections (%),Neonatal deaths (%),Diarrheal diseases (%),Road accidents (%),Liver disease (%),Tuberculosis (%),Kidney disease (%),Digestive diseases (%),HIV/AIDS (%),Suicide (%),Malaria (%),Homicide (%),Nutritional deficiencies (%)
Afghanistan,AFG,1990,17.61039712,4.025975401,2.106626129,3.832554754,0.531428685,10.88636168,9.184652752,2.497141261,3.715944407,0.836909339,5.877075486,1.680611481,1.05877108,0.013019479,0.436610462,0.448886292,1.287019945,0.350504461
Afghanistan,AFG,1991,17.80180695,4.054145083,2.134175871,3.822227846,0.532497271,10.35696751,8.93889724,2.572228147,3.729142346,0.845515901,5.891703927,1.67111508,1.04932232,0.014514577,0.442280164,0.455019126,1.290990578,0.343212255
Afghanistan,AFG,1992,18.38683342,4.173958501,2.208297763,3.900124587,0.540065691,10.09554625,8.841380127,2.707742741,3.816356836,0.874524972,6.034668928,1.700988293,1.062886944,0.016258278,0.456645008,0.460838245,1.326168151,0.345482702
Afghanistan,AFG,1993,18.95964597,4.269233438,2.283923118,3.974112964,0.553813024,9.873841343,8.676408614,3.360793046,3.884374149,0.900512835,6.160950508,1.728673705,1.074954977,0.017721268,0.464683138,0.466301386,1.350334618,0.348639382
Afghanistan,AFG,1994,19.08951305,4.256033536,2.307721061,3.9689538,0.550087031,9.530241709,8.384453835,3.083801385,3.856048385,0.905217751,6.142277939,1.725374794,1.062283639,0.018505693,0.463374426,0.47216578,1.339526364,0.345192652
Afghanistan,AFG,1995,19.85610105,4.394915591,2.412292957,4.105946989,0.568483884,9.602873141,8.424798738,3.540193783,3.963610253,0.941566084,6.334052434,1.78221516,1.089571861,0.019865139,0.476327572,0.480078642,1.374878079,0.356652884
Afghanistan,AFG,1996,20.40613605,4.48187942,2.486553533,4.209153703,0.582752471,9.524168389,8.492455762,3.42354779,4.033084662,0.96604076,6.469086348,1.81950676,1.10412025,0.021041829,0.486787065,0.49976148,1.402546769,0.354208865
Afghanistan,AFG,1997,20.36310477,4.445823987,2.491479073,4.192323179,0.582428527,9.287325253,8.346082669,3.546917277,3.974308948,0.963376595,6.451816504,1.800411675,1.091527595,0.021468727,0.483723869,0.491624875,1.392223493,0.343975794
Afghanistan,AFG,1998,19.62352438,4.263364012,2.408005316,4.042126468,0.561004571,8.648045558,7.936419332,3.368168833,3.773978161,0.926957037,6.174043252,1.733449327,1.039400239,0.02106856,0.465642589,0.48245033,1.33368534,0.312771158
Afghanistan,AFG,1999,21.10798669,4.57292261,2.595154088,4.339258459,0.603473376,8.935915332,8.420911923,3.608538111,4.004526878,0.989750436,6.516175117,1.86584503,1.111284774,0.02296866,0.498161839,0.512560349,1.427542371,0.308311999
Afghanistan,AFG,2000,21.42999273,4.641050242,2.63730839,4.414367136,0.611641067,8.764696729,8.432826156,3.611209927,4.014670553,1.000104662,6.486219748,1.898701823,1.124335645,0.023592402,0.506473074,0.523278572,1.448107779,0.289343257
